"STATISTIC Label","Year","Country","Sex","Origin or Destination","UNIT","VALUE"
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2003","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Both sexes","Net migration","Thousand","7.5"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","7.1"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","14.6"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Male","Net migration","Thousand","4.8"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","2.9"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Male","Immigrants: All origins","Thousand","7.7"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Female","Net migration","Thousand","2.7"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","4.2"
"Estimated Migration (Persons in April)","2004","United Kingdom (1)","Female","Immigrants: All origins","Thousand","6.9"
"Estimated Migration (Persons in April)","2004","United States","Both sexes","Net migration","Thousand","1.4"
"Estimated Migration (Persons in April)","2004","United States","Both sexes","Emigrants: All destinations","Thousand","3.9"
"Estimated Migration (Persons in April)","2004","United States","Both sexes","Immigrants: All origins","Thousand","5.3"
"Estimated Migration (Persons in April)","2004","United States","Male","Net migration","Thousand","0.7"
"Estimated Migration (Persons in April)","2004","United States","Male","Emigrants: All destinations","Thousand","2.1"
"Estimated Migration (Persons in April)","2004","United States","Male","Immigrants: All origins","Thousand","2.9"
"Estimated Migration (Persons in April)","2004","United States","Female","Net migration","Thousand","0.7"
"Estimated Migration (Persons in April)","2004","United States","Female","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration (Persons in April)","2004","United States","Female","Immigrants: All origins","Thousand","2.5"
"Estimated Migration (Persons in April)","2004","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","Other countries (23)","Both sexes","Net migration","Thousand","12.9"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","10.5"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","23.3"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Male","Net migration","Thousand","7.1"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Male","Emigrants: All destinations","Thousand","5.3"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Male","Immigrants: All origins","Thousand","12.4"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Female","Net migration","Thousand","5.7"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Female","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration (Persons in April)","2004","Other countries (23)","Female","Immigrants: All origins","Thousand","10.9"
"Estimated Migration (Persons in April)","2004","All countries","Both sexes","Net migration","Thousand","32"
"Estimated Migration (Persons in April)","2004","All countries","Both sexes","Emigrants: All destinations","Thousand","26.5"
"Estimated Migration (Persons in April)","2004","All countries","Both sexes","Immigrants: All origins","Thousand","58.5"
"Estimated Migration (Persons in April)","2004","All countries","Male","Net migration","Thousand","18"
"Estimated Migration (Persons in April)","2004","All countries","Male","Emigrants: All destinations","Thousand","12.5"
"Estimated Migration (Persons in April)","2004","All countries","Male","Immigrants: All origins","Thousand","30.5"
"Estimated Migration (Persons in April)","2004","All countries","Female","Net migration","Thousand","14"
"Estimated Migration (Persons in April)","2004","All countries","Female","Emigrants: All destinations","Thousand","14"
"Estimated Migration (Persons in April)","2004","All countries","Female","Immigrants: All origins","Thousand","28"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","10.2"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","5"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","15.2"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","5.4"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","7.6"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","4.8"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration (Persons in April)","2004","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","7.6"
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2004","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Both sexes","Net migration","Thousand","7.7"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","7.9"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","15.6"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Male","Net migration","Thousand","4.5"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","3.9"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Male","Immigrants: All origins","Thousand","8.4"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Female","Net migration","Thousand","3.2"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","3.9"
"Estimated Migration (Persons in April)","2005","United Kingdom (1)","Female","Immigrants: All origins","Thousand","7.2"
"Estimated Migration (Persons in April)","2005","United States","Both sexes","Net migration","Thousand","1.5"
"Estimated Migration (Persons in April)","2005","United States","Both sexes","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration (Persons in April)","2005","United States","Both sexes","Immigrants: All origins","Thousand","4.8"
"Estimated Migration (Persons in April)","2005","United States","Male","Net migration","Thousand","0"
"Estimated Migration (Persons in April)","2005","United States","Male","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","2005","United States","Male","Immigrants: All origins","Thousand","1.6"
"Estimated Migration (Persons in April)","2005","United States","Female","Net migration","Thousand","1.5"
"Estimated Migration (Persons in April)","2005","United States","Female","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","2005","United States","Female","Immigrants: All origins","Thousand","3.1"
"Estimated Migration (Persons in April)","2005","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2005","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2005","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2005","Other countries (23)","Both sexes","Net migration","Thousand","6.7"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","12.7"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","19.4"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Male","Net migration","Thousand","3.1"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Male","Emigrants: All destinations","Thousand","6.8"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Male","Immigrants: All origins","Thousand","9.9"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Female","Net migration","Thousand","3.7"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Female","Emigrants: All destinations","Thousand","5.8"
"Estimated Migration (Persons in April)","2005","Other countries (23)","Female","Immigrants: All origins","Thousand","9.5"
"Estimated Migration (Persons in April)","2005","All countries","Both sexes","Net migration","Thousand","55.1"
"Estimated Migration (Persons in April)","2005","All countries","Both sexes","Emigrants: All destinations","Thousand","29.4"
"Estimated Migration (Persons in April)","2005","All countries","Both sexes","Immigrants: All origins","Thousand","84.6"
"Estimated Migration (Persons in April)","2005","All countries","Male","Net migration","Thousand","32.6"
"Estimated Migration (Persons in April)","2005","All countries","Male","Emigrants: All destinations","Thousand","14.9"
"Estimated Migration (Persons in April)","2005","All countries","Male","Immigrants: All origins","Thousand","47.5"
"Estimated Migration (Persons in April)","2005","All countries","Female","Net migration","Thousand","22.5"
"Estimated Migration (Persons in April)","2005","All countries","Female","Emigrants: All destinations","Thousand","14.6"
"Estimated Migration (Persons in April)","2005","All countries","Female","Immigrants: All origins","Thousand","37.1"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","6.2"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","4.9"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","11.1"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","2.8"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.1"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","4.9"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","3.4"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration (Persons in April)","2005","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","6.2"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand","32.9"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand","33.7"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand","22.2"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand","22.6"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand","10.7"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand","0.4"
"Estimated Migration (Persons in April)","2005","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand","11.1"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Both sexes","Net migration","Thousand","8.9"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","8.8"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","17.7"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Male","Net migration","Thousand","5.2"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","4.5"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Male","Immigrants: All origins","Thousand","9.7"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Female","Net migration","Thousand","3.6"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","4.4"
"Estimated Migration (Persons in April)","2006","United Kingdom (1)","Female","Immigrants: All origins","Thousand","8"
"Estimated Migration (Persons in April)","2006","United States","Both sexes","Net migration","Thousand","0.7"
"Estimated Migration (Persons in April)","2006","United States","Both sexes","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration (Persons in April)","2006","United States","Both sexes","Immigrants: All origins","Thousand","4"
"Estimated Migration (Persons in April)","2006","United States","Male","Net migration","Thousand","0.1"
"Estimated Migration (Persons in April)","2006","United States","Male","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration (Persons in April)","2006","United States","Male","Immigrants: All origins","Thousand","1.7"
"Estimated Migration (Persons in April)","2006","United States","Female","Net migration","Thousand","0.6"
"Estimated Migration (Persons in April)","2006","United States","Female","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration (Persons in April)","2006","United States","Female","Immigrants: All origins","Thousand","2.3"
"Estimated Migration (Persons in April)","2006","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2006","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2006","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2006","Other countries (23)","Both sexes","Net migration","Thousand","7.5"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","15.8"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","23.3"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Male","Net migration","Thousand","2.3"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Male","Emigrants: All destinations","Thousand","9.3"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Male","Immigrants: All origins","Thousand","11.6"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Female","Net migration","Thousand","5.2"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Female","Emigrants: All destinations","Thousand","6.6"
"Estimated Migration (Persons in April)","2006","Other countries (23)","Female","Immigrants: All origins","Thousand","11.8"
"Estimated Migration (Persons in April)","2006","All countries","Both sexes","Net migration","Thousand","71.8"
"Estimated Migration (Persons in April)","2006","All countries","Both sexes","Emigrants: All destinations","Thousand","36"
"Estimated Migration (Persons in April)","2006","All countries","Both sexes","Immigrants: All origins","Thousand","107.8"
"Estimated Migration (Persons in April)","2006","All countries","Male","Net migration","Thousand","41.6"
"Estimated Migration (Persons in April)","2006","All countries","Male","Emigrants: All destinations","Thousand","18.7"
"Estimated Migration (Persons in April)","2006","All countries","Male","Immigrants: All origins","Thousand","60.3"
"Estimated Migration (Persons in April)","2006","All countries","Female","Net migration","Thousand","30.2"
"Estimated Migration (Persons in April)","2006","All countries","Female","Emigrants: All destinations","Thousand","17.3"
"Estimated Migration (Persons in April)","2006","All countries","Female","Immigrants: All origins","Thousand","47.5"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","7.8"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","5.7"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Both sexes","Immigrants: All origins","Thousand","13.5"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Male","Net migration","Thousand","4.4"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Male","Emigrants: All destinations","Thousand","2.4"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Male","Immigrants: All origins","Thousand","6.8"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Female","Net migration","Thousand","3.4"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Female","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration (Persons in April)","2006","EU14 excl Irl (UK & Ireland)","Female","Immigrants: All origins","Thousand","6.7"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Net migration","Thousand","47"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Both sexes","Immigrants: All origins","Thousand","49.3"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Male","Net migration","Thousand","29.5"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Male","Emigrants: All destinations","Thousand","1"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Male","Immigrants: All origins","Thousand","30.5"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Female","Net migration","Thousand","17.4"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Female","Emigrants: All destinations","Thousand","1.4"
"Estimated Migration (Persons in April)","2006","EU15 to EU27 (accession countries joined post 2004)","Female","Immigrants: All origins","Thousand","18.8"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Both sexes","Net migration","Thousand","7.1"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Both sexes","Emigrants: All destinations","Thousand","11.1"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Both sexes","Immigrants: All origins","Thousand","18.2"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Male","Net migration","Thousand","4.2"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Male","Emigrants: All destinations","Thousand","5.3"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Male","Immigrants: All origins","Thousand","9.5"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Female","Net migration","Thousand","2.8"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Female","Emigrants: All destinations","Thousand","5.9"
"Estimated Migration (Persons in April)","2007","United Kingdom (1)","Female","Immigrants: All origins","Thousand","8.7"
"Estimated Migration (Persons in April)","2007","United States","Both sexes","Net migration","Thousand","2.2"
"Estimated Migration (Persons in April)","2007","United States","Both sexes","Emigrants: All destinations","Thousand","3.1"
"Estimated Migration (Persons in April)","2007","United States","Both sexes","Immigrants: All origins","Thousand","5.3"
"Estimated Migration (Persons in April)","2007","United States","Male","Net migration","Thousand","0.7"
"Estimated Migration (Persons in April)","2007","United States","Male","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration (Persons in April)","2007","United States","Male","Immigrants: All origins","Thousand","2.5"
"Estimated Migration (Persons in April)","2007","United States","Female","Net migration","Thousand","1.4"
"Estimated Migration (Persons in April)","2007","United States","Female","Emigrants: All destinations","Thousand","1.4"
"Estimated Migration (Persons in April)","2007","United States","Female","Immigrants: All origins","Thousand","2.8"
"Estimated Migration (Persons in April)","2007","Canada","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2007","Canada","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Both sexes","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Both sexes","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Both sexes","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Male","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Male","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Male","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Female","Net migration","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Female","Emigrants: All destinations","Thousand",""
"Estimated Migration (Persons in April)","2007","Australia","Female","Immigrants: All origins","Thousand",""
"Estimated Migration (Persons in April)","2007","Other countries (23)","Both sexes","Net migration","Thousand","13.9"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Both sexes","Emigrants: All destinations","Thousand","20.8"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Both sexes","Immigrants: All origins","Thousand","34.7"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Male","Net migration","Thousand","5.9"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Male","Emigrants: All destinations","Thousand","12.5"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Male","Immigrants: All origins","Thousand","18.4"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Female","Net migration","Thousand","8"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Female","Emigrants: All destinations","Thousand","8.3"
"Estimated Migration (Persons in April)","2007","Other countries (23)","Female","Immigrants: All origins","Thousand","16.3"
"Estimated Migration (Persons in April)","2007","All countries","Both sexes","Net migration","Thousand","104.8"
"Estimated Migration (Persons in April)","2007","All countries","Both sexes","Emigrants: All destinations","Thousand","46.3"
"Estimated Migration (Persons in April)","2007","All countries","Both sexes","Immigrants: All origins","Thousand","151.1"
"Estimated Migration (Persons in April)","2007","All countries","Male","Net migration","Thousand","54.3"
"Estimated Migration (Persons in April)","2007","All countries","Male","Emigrants: All destinations","Thousand","25.7"
"Estimated Migration (Persons in April)","2007","All countries","Male","Immigrants: All origins","Thousand","80"
"Estimated Migration (Persons in April)","2007","All countries","Female","Net migration","Thousand","50.4"
"Estimated Migration (Persons in April)","2007","All countries","Female","Emigrants: All destinations","Thousand","20.6"
"Estimated Migration (Persons in April)","2007","All countries","Female","Immigrants: All origins","Thousand","71.1"
"Estimated Migration (Persons in April)","2007","EU14 excl Irl (UK & Ireland)","Both sexes","Net migration","Thousand","16.8"
"Estimated Migration (Persons in April)","2007","EU14 excl Irl (UK & Ireland)","Both sexes","Emigrants: All destinations","Thousand","3.5"
